fecha,temperatura,ley_T,humedad,ley_H,iluminancia,ley_I,oxigeno,ley_O
2026-07-03T16:38:51,38.56,alta,44.47,-,0.82,-,53.52,-
2026-07-03T16:37:41,36.43,-,43.14,-,0.6,-,39.77,-
2026-07-03T16:37:31,36.58,-,43.8,-,0.84,-,62.98,-
2026-07-03T16:37:21,36.21,-,36.33,-,1.26,-,38.29,-
2026-07-03T16:37:11,36.75,-,44.43,-,1.05,-,40.0,-
2026-07-03T16:37:01,36.54,-,45.03,-,0.69,-,37.13,-
2026-07-03T16:36:51,36.63,-,35.01,-,0.92,-,54.4,-
2026-07-03T16:36:41,36.21,-,36.24,-,1.21,-,46.29,-
2026-07-03T16:36:21,36.5,-,44.37,-,0.71,-,36.72,-
2026-07-03T16:36:11,36.54,-,37.5,-,1.05,-,50.15,-
2026-07-03T16:35:41,36.49,-,44.62,-,1.26,-,57.16,-
2026-07-03T16:35:31,36.51,-,38.75,-,0.65,-,39.9,-
2026-07-03T16:35:21,36.2,-,38.17,-,0.98,-,61.56,-
2026-07-03T16:34:21,36.57,-,34.09,-,0.89,-,45.46,-
2026-07-03T16:34:01,36.45,-,36.25,-,0.84,-,50.11,-
2026-07-03T16:33:51,36.64,-,39.49,-,0.77,-,37.6,-
2026-07-03T16:33:41,36.28,-,39.51,-,0.58,-,63.41,-
2026-07-03T16:33:31,36.49,-,43.25,-,0.75,-,38.41,-
2026-07-03T16:33:21,36.66,-,44.29,-,1.2,-,57.45,-
2026-07-03T16:33:11,36.58,-,37.69,-,0.81,-,52.67,-
2026-07-03T16:32:51,36.62,-,37.31,-,1.2,-,56.47,-
2026-07-03T16:32:41,36.39,-,41.57,-,1.07,-,64.08,-
2026-07-03T16:32:31,36.5,-,40.95,-,0.66,-,46.79,-
2026-07-03T16:31:31,36.55,-,41.57,-,1.05,-,66.92,-
2026-07-03T16:31:21,36.3,-,35.99,-,0.67,-,50.51,-
2026-07-03T16:31:11,36.29,-,45.3,-,0.89,-,64.89,-
2026-07-03T16:31:01,36.25,-,40.98,-,1.18,-,68.35,-
2026-07-03T16:30:51,36.65,-,36.4,-,1.23,-,53.63,-
2026-07-03T16:30:41,36.32,-,58.11,alta,0.89,-,39.11,-
2026-07-03T16:30:31,36.58,-,37.42,-,1.18,-,36.13,-
2026-07-03T16:30:11,36.42,-,45.19,-,1.1,-,58.51,-
2026-07-03T16:29:11,36.65,-,37.27,-,0.63,-,59.85,-
2026-07-03T16:27:51,36.57,-,37.45,-,1.2,-,35.58,-
2026-07-03T16:27:41,36.55,-,43.92,-,0.88,-,60.52,-
2026-07-03T16:27:21,36.78,-,39.93,-,0.71,-,51.04,-
2026-07-03T16:27:11,36.75,-,36.07,-,0.75,-,64.4,-
2026-07-03T16:27:01,36.73,-,37.79,-,0.66,-,42.51,-
2026-07-03T16:26:41,36.41,-,41.39,-,1.17,-,52.36,-
2026-07-03T16:26:31,36.3,-,45.07,-,0.96,-,67.58,-
2026-07-03T16:26:21,36.55,-,56.94,alta,0.99,-,52.03,-
2026-07-03T16:26:11,36.75,-,43.07,-,0.84,-,48.59,-
2026-07-03T16:26:01,36.67,-,34.62,-,0.87,-,51.31,-
2026-07-03T16:25:51,36.65,-,38.99,-,1.27,-,47.62,-
2026-07-03T16:24:51,36.38,-,35.57,-,0.99,-,59.23,-
2026-07-03T16:24:41,36.49,-,42.39,-,0.7,-,54.83,-
2026-07-03T16:24:01,36.66,-,39.65,-,0.97,-,52.56,-
2026-07-03T16:23:51,36.68,-,45.56,-,0.66,-,38.45,-
2026-07-03T16:23:41,36.6,-,43.34,-,1.2,-,51.66,-
2026-07-03T16:23:31,36.63,-,41.83,-,1.14,-,59.8,-
2026-07-03T16:23:21,36.35,-,36.01,-,0.6,-,34.19,-
2026-07-03T16:23:11,36.48,-,45.03,-,0.7,-,66.33,-
2026-07-03T16:23:01,36.47,-,42.49,-,0.72,-,45.16,-
2026-07-03T16:22:51,36.28,-,44.08,-,0.67,-,56.16,-
2026-07-03T16:22:41,36.75,-,34.26,-,0.89,-,55.93,-
2026-07-03T16:22:31,36.7,-,43.37,-,1.15,-,37.35,-
2026-07-03T16:22:21,36.25,-,34.5,-,1.05,-,61.36,-
2026-07-03T16:22:11,36.77,-,34.27,-,1.0,-,38.71,-
